comment,entities
"ses kalitesi ve ergonomisi rezalet, sony olduğu için aldım ama 4'de 1 fiyatına çin replika ürün alsaydım çok çok daha iyiydi, kesinlikle tavsiye etmiyorum.","[('sony olduğu için', 'ORG'), ('1 fiyatına', 'QUANTITY'), ('çok çok daha iyiydi', 'PERSON')]"
hizli teslimat tesekkürler,[]
ses olayı süper....gece çalıştır sıkıntı yok.....kablo uzun işinizi çok rahat ettirir.....çekme olayı son derece güzel içiniz rahat olsun......diğerlerini saymıyorum bile.....,"[('gece çalıştır', 'PERSON'), ('çekme olayı son derece güzel', 'PERSON')]"
geldi bigün kullandık hemen bozoldu hiçtavsiye. etmem,"[('geldi bigün kullandık hemen', 'PERSON'), ('etmem', 'ORG')]"
"Kulaklığın sesi kaliteli falan değil. Aleti öve öve bitiremeyen yorumlar şüpheli. Tizler yok gibi ve olan da boğuk çıkıyor. Bas, kaba saba, ben buradayım diyor ama kalite yok. İyi ses arayanlara tavsiye etmem. Hayatımda aldığım ilk Snopy marka üründü, onu da bazı yorumlara güvenerek aldım ve pişman oldum. Hepsiburada'nın sahte yorumlara karşı önlem alması gerekiyor artık.","[('Kulaklığın', 'GPE'), ('falan değil', 'PERSON'), ('Aleti öve öve bitiremeyen yorumlar', 'PERSON'), ('gibi', 'GPE'), ('olan da boğuk çıkıyor', 'ORG'), ('Bas', 'PERSON'), ('kaba saba', 'PERSON'), ('ben buradayım', 'PERSON'), ('Hayatımda', 'ORG'), ('Snopy', 'PRODUCT'), ('da bazı yorumlara güvenerek aldım', 'PERSON'), (""Hepsiburada'nın"", 'ORG'), ('karşı', 'GPE')]"
"Giriş seviyesindeki kullanıcılar için kabul edilebilir sonuçlar veren bir lens, fokus motoru ve makro çekimleri kaliteli sonuçlar veriyor. Şunu da belirtmek lazım ki belli bir süre kullandıktan sonra daha kaliteli bir lens ihtiyacı hissedeceksiniz.","[('için', 'DATE'), ('kabul', 'GPE'), ('motoru ve makro çekimleri', 'ORG'), ('Şunu da belirtmek', 'PERSON'), ('süre kullandıktan sonra daha kaliteli', 'ORG')]"
kullanisli baya,[]
Dezavantajlar : Pahalı ürün<br />Merhabalar bu lens başka yerlerde 327 tl ile 389 tl arası satılıyor neden Mediamarkta pahalı fiyat düşürürseniz sizden alacağım,"[('Pahalı', 'GPE'), ('başka', 'GPE'), ('327 tl ile', 'PRODUCT'), ('389', 'CARDINAL'), ('Mediamarkta', 'GPE')]"
ÜRÜN GÜZEL BU PARALARA BAŞKA BULAMAZSINIZ,[]
Tasarım ve kalite iyi olmasına rağmen yazma hızı oldukça düşük kalıyor.,"[('düşük kalıyor', 'PERSON')]"
Çok değil çekim gücü az olduğu için 3 puan,"[('Çok değil çekim', 'PERSON'), ('az olduğu', 'PERSON'), ('3', 'CARDINAL')]"
İki kere aldım ikisindede gelen jöle kutusu kırılmış ve içinde jöle paketin içine yayılmıştı.sorun aras kargo ise başka kargo şirketi ile gönderin..,"[('gelen jöle kutusu', 'PERSON'), ('yayılmıştı.sorun aras', 'PERSON'), ('başka', 'GPE'), ('şirketi ile', 'PERSON')]"
"Klavye tuşları basmakla basmamak arasında kalıyor. Mouse ara sıra
takılma yapıyor. Başka da bir şey yok.","[('basmakla', 'NORP'), ('arasında kalıyor', 'PERSON'), ('Mouse', 'PERSON'), ('ara sıra\n', 'PERSON'), ('takılma yapıyor', 'PERSON'), ('Başka da bir', 'PERSON')]"
"WPA2 ile sorun yaşayanlar eğer masaüstü bilgisayarını kablosuz ağ adaptörü ile kablosuz modeme bağlanmaya çalışıyorsa ağ adaptörünün özelliklerinden (Ağ Bağlantılarımdan kablosuz ağ adaptörüne sağ tıklayıp, özellikler menüsünden güvenlik bölümünden) şifrelemeyi WPA2-PSK seçmeliler.","[('bilgisayarını kablosuz', 'PERSON'), ('adaptörü ile kablosuz modeme bağlanmaya çalışıyorsa', 'PERSON'), ('adaptörünün özelliklerinden', 'PERSON'), ('Ağ Bağlantılarımdan', 'PERSON'), ('adaptörüne sağ tıklayıp', 'PERSON'), ('özellikler menüsünden güvenlik bölümünden', 'ORG')]"
"Ürün pompasız geliyor. Onun dışında güzel ürün. Pompası olmadığı için 2
yıldız kırdım. Mağaza ürünü zamanında gönderdi.ürün iyi paketlenmişti.","[('Ürün', 'PERSON'), ('Pompası', 'ORG'), ('2', 'CARDINAL'), ('Mağaza', 'GPE'), ('zamanında gönderdi.ürün', 'PERSON')]"
bu ürünü geçen sene almıştım çok fazla kullanmamama rağmen orta ısıtıcısı bozuldu tavsiye etmem,"[('fazla kullanmamama rağmen orta', 'ORG')]"
Mukemmel bir ürün kesinlikle alın,"[('Mukemmel', 'GPE'), ('kesinlikle', 'PERSON')]"
