comment,entity_list
operatör anlatamıyorum tanımlı alıyorum mesajı şekilde aşağıdaki veveya zeka zekaya cüzdan müşteri arayınca yapay gerçekleştiremiyoruz derdimi değişimi hiçbir akıllı yi işlemlerini temsilcisine sebebiyle değişiklik yapmamama numarası olmayan gsm rağmen bağlamıyor,[]
aldım mobil servisi internetim çekmiyor operatör bir vodafone il haftadır kaynaklı yeni sorunun telefon önce olduğunu hafta söyledi,"['mobil servisi', 'vodafone']"
hattımın yüksek ben ücreti tarife deniyor etmek diyorlar bitti iken var geliyor istiyorum pahalı devam i̇yi böyle bana ediyorsunuz taahhüt kadar yapıp lira tarifemle an aynı hatlarımız mağdur fazla başka bir zam gb numaralı,['gb numaralı']
ettim cihazı şimdi ulaştırılacağı ifade cihazın paketimi tuhaf olan cihazının yenilerken müşteri belirtildi k sagem yapılacağı talep söyleniyor edildi sistemde mevcut tarafından olduğu söylendi değişimin kontratı sis stoklarda hizmetleri yeniledim olmadığı firma,[]
talebi operatör hâlâ önce id muhatap geçmedi çekim çözüm numaram yazısı tarihinde talep saattir bulunmasını verdim bekliyor bulamıyorum sürekli an eposta tl yetki bekleniyor hesabıma saat bir onayı gönderiyorum ancak te çıkıyor,[]
operatör üzerinden borcunu hattın geçtim iletişime olan ulaştırdım fatura ödemesini yapmak istedikleri bankacılık mobil tarihinde i̇lgili belgeleri isterken mail şirketi ödedim iade vodafone genel sehven numaralı,['vodafone']
şifre operatör uyarısıyla alıyorum ti̇m kullanıyorum sim merkezini dolayısı mağazasına girişi bloke işlemi ulaşamıyorum gittim hata blok çağrı istiyor uygulama kart paycell kaldırma hesabım karşılaştım girişinde merkezine aradığımda akabinde sonlanıyor,"['merkezini', 'paycell kaldırma']"
hat üstüne yıldır ben herkes internete ödüyorum annemin vodafone kullanıyor ailemde kullanıyorum müşterisiyim an tarifime tl gb,['vodafone']
yazık operatör veriyor gönderilen yeni süredir hızlı şekilde ediyorum bulunamamıştır sorunun çözülmesini güncellemeyle mobil talep telefonuma cep beraber tarafından uygulamasına giremiyorum bir bilginiz halkbank uyarı telefonu,"['talep', 'beraber tarafından', 'halkbank uyarı telefonu']"
tarifeden fahiş yaparak cayma bana bitiminde tek taahhüt bedeli istiyorlar uzatma istediğimde tarifeye taraflı vodafone çıkmak sormadan zam yaptı,['vodafone']
bekliyorum değişikliği operatör zaman üzerinden ödeme gelmiyor değişmedi olun yardımcı fakat istiyorum sorunun giderilmesini uygulaması yapmak numaram güvenli dönüş lütfen doğrulama bir yaptım online alışveriş dolap kodu dediğim istediğim kısa zamanda,['alışveriş dolap']
değişikliği operatör bilmi ödeme kullanıyorum gelmiyor rağmen yapacağımı gelmedi fakat defalarca onay durumda yapmak güncel numaram banka yakın telefonuma gerçekten kart denememe aynı olarak istediğimde genç kartı olmasına yaptım online alışveriş ziraat kodu bankası zamanda,['ziraat kodu']
çözeceğiz bakıyorum faturam ay sonra dediler olmuş ayrıca demişlerdi defalarca müşteri söylediler aylık hattımı sorun hattım cayma pake ni bedeli üç lira geçirdim mecburen telekom bugün tl turkcelle orada çekmiyor türk düşeceğine aradım gözükmüyor hizmetleri borç,"['telekom', 'turkcelle', 'düşeceğine']"
